type_of_model,mode,regression_formula,grid_size,notes,model_performance,performance_measure
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + MOR_A + MOR_B,5,tyring to re-find best model,0.5549873233564281,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A,5,tyring to re-find best model,0.534209674983299,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + MOR_A + MOR_B,5,current best model with MORA and MORB,0.5561114512161711,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + POM_A + POM_B,5,current best model with MORA and MORB,0.5417017382157937,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + POM_A + POM_B,5,current best model with POMA and POMB interaction,0.5454529786010979,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + SAG_A + SAG_B,5,current best model with SAG_A + SAG_B,0.5484878707848979,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + SAG_A + SAG_B,5,current best model with SAG_A + SAG_B interaction,0.5478324933394279,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + WLK_A + WLK_B,5,current best model with WLK_A + WLK_B interaction,0.5609772238836066,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A,5,current best model,0.534209674983299,kaggle
log_reg,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A,5,current best model,0.550789132539668,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A,5,current best model make into regression,0.5341625171942355,kaggle
boost_tree,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A,20,current best model with boost tree grid 20,0.5352820929881282,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A,20,current best model with boost tree grid 20,0.538535320485796,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A,10,current best model with boost tree grid 20,0.5372679753950079,kaggle
boost_tree,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A,10,current best model with boost tree grid 20,0.5352820929881282,kaggle
boost_tree,regression,~win_byrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A,10,current best model with boost tree grid 20,11.566338641232262,rmse
boost_tree,regression,~win_byrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + Seed_A + Seed_B,10,current best model with boost tree grid 20 now add seeds,11.57671271841975,rmse
boost_tree,regression,~win_byrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + Seed_A + Seed_B,10,current best model with boost tree grid 20 now add seeds interaction,11.575253344818375,rmse
boost_tree,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + Seed_A + Seed_B,10,current best model with boost tree grid 20 now add seeds interaction,0.5540997409040637,kaggle
boost_tree,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A,10,current best model with boost tree grid 20 now add seeds interaction,0.6931453798465647,kaggle
boost_tree,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A,10,current best model with boost tree grid 20 now add seeds,0.5565958368859651,kaggle
boost_tree,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A,10,current best model with boost tree grid 20 now add seeds - fix interactions,0.5565958368859651,kaggle
boost_tree,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A,10,current best model with boost tree grid 20 now add seeds - put interactions back in,0.5554625726222228,kaggle
boost_tree,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + Seed_A + Seed_B,10,current best model with boost tree grid 20 now add seeds - put interactions back in,0.5700869780762423,kaggle
boost_tree,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + Seed_A + Seed_B,10,current best model with boost tree grid 20 now add seeds - put interactions back in - seeds,0.5540997409040637,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + Seed_A + Seed_B,10,current best model with boost tree grid 20 now add seeds - put interactions back in - seeds,0.5318552266881815,kaggle
log_reg,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + Seed_A + Seed_B,10,current best model with boost tree grid 20 now add seeds - put interactions back in - seeds,0.5365399060862428,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + Seed_A + Seed_B + five38_A + five38_B,10,current best model with boost tree grid 20 now add seeds - put interactions back in - seeds 538add,0.5318552266881815,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + Seed_A + Seed_B + five38_A + five38_B,10,current best model with boost tree grid 20 now add seeds - put interactions back in - seeds 538add interact,0.5318552266881815,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + Seed_A + Seed_B + five38_A + five38_B,10,current best model with boost tree grid 20 now add seeds - put interactions back in - seeds 538add interact - impute differently,0.5322094296572099,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_B + conf_loss_against_B + conf_wins_against_A + conf_loss_against_A + Seed_A + Seed_B + five38_A + five38_B,10,current best model with boost tree grid 20 now add seeds - put interactions back in - seeds 538add interact - impute differently restart,0.5354239173901999,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_A + conf_loss_against_A + +conf_wins_against_B + conf_loss_against_B,10,current best model with boost tree grid 20 now add seeds - put interactions back in - seeds 538add interact - impute differently restart,0.5381656343746408,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_A + conf_loss_against_A + +conf_wins_against_B + conf_loss_against_B,10,current best model with random forest odd interactions,0.5381656343746408,kaggle
boost_tree,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_A + conf_loss_against_A + +conf_wins_against_B + conf_loss_against_B,10,current best model with random forest odd interactions,0.6931459745921955,kaggle
boost_tree,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_A + conf_loss_against_A + +conf_wins_against_B + conf_loss_against_B,20,current best model with random forest odd interactions,0.6922808359006559,kaggle
log_reg,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_A + conf_loss_against_A + +conf_wins_against_B + conf_loss_against_B,20,current best model with random forest odd interactions,0.5445887304081933,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + good_wins_A + good_wins_B + conf_wins_against_A + conf_loss_against_A + +conf_wins_against_B + conf_loss_against_B,20,current best model with random forest odd interactions,0.5381757636896809,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + conf_wins_against_A + conf_loss_against_A + +conf_wins_against_B + conf_loss_against_B + quad_wins_A + quad_wins_B + quad_loss_A + quad_loss_B,10,current best model minus good win and loss plus quad stuff,0.534388046616145,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + conf_wins_against_A + conf_loss_against_A + conf_wins_against_B + conf_loss_against_B + quad_wins_A + quad_wins_B + quad_loss_A + quad_loss_B,10,current best model minus good win and loss plus quad stuff,0.3205049793884189,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + conf_wins_against_A + conf_loss_against_A + conf_wins_against_B + conf_loss_against_B + quad_wins_A + quad_wins_B + quad_loss_A + quad_loss_B,10,current best model minus good win and loss plus quad stuff 19,0.551677104296414,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + conf_wins_against_A + conf_loss_against_A + conf_wins_against_B + conf_loss_against_B + quad_wins_A + quad_wins_B + quad_loss_A + quad_loss_B,10,current best model predict on itsself,0.3205049793884189,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + conf_wins_against_A + conf_loss_against_A + conf_wins_against_B + conf_loss_against_B + quad_wins_A + quad_wins_B + quad_loss_A + quad_loss_B,10,current best model predict on itsself so Jim can see,0.16390238352975375,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + conf_wins_against_A + conf_loss_against_A + conf_wins_against_B + conf_loss_against_B + quad_wins_A + quad_wins_B + quad_loss_A + quad_loss_B,10,current best model validation,0.5351525492135498,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + conf_wins_against_A + conf_loss_against_A + conf_wins_against_B + conf_loss_against_B + quad_wins_A + quad_wins_B + quad_loss_A + quad_loss_B,10,current best model validation test,0.459929974819111,kaggle
random_forest,regression,~win_byrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + conf_wins_against_A + conf_loss_against_A + conf_wins_against_B + conf_loss_against_B + quad_wins_A + quad_wins_B + quad_loss_A + quad_loss_B,10,current best model validation test,7.5057320294688354,rmse
boost_tree,regression,~win_byrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + conf_wins_against_A + conf_loss_against_A + conf_wins_against_B + conf_loss_against_B + quad_wins_A + quad_wins_B + quad_loss_A + quad_loss_B,10,current best model validation test,4.996927667712707,rmse
boost_tree,regression,~win_byrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + conf_wins_against_A + conf_loss_against_A + conf_wins_against_B + conf_loss_against_B + quad_wins_A + quad_wins_B + quad_loss_A + quad_loss_B,100,current best model validation test,9.844305760093993,rmse
boost_tree,regression,~win_byrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + conf_wins_against_A + conf_loss_against_A + conf_wins_against_B + conf_loss_against_B + quad_wins_A + quad_wins_B + quad_loss_A + quad_loss_B,10,current best model validation regression,4.996927667712707,rmse
boost_tree,regression,~win_byrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + conf_wins_against_A + conf_loss_against_A + conf_wins_against_B + conf_loss_against_B + quad_wins_A + quad_wins_B + quad_loss_A + quad_loss_B,11,current best model validation regression,5.009498569085812,rmse
boost_tree,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + conf_wins_against_A + conf_loss_against_A + conf_wins_against_B + conf_loss_against_B + quad_wins_A + quad_wins_B + quad_loss_A + quad_loss_B,10,current best model validation classification,0.6766747951667721,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + conf_wins_against_A + conf_loss_against_A + conf_wins_against_B + conf_loss_against_B + quad_wins_A + quad_wins_B + quad_loss_A + quad_loss_B,10,current best model validation classification,0.459929974819111,kaggle
random_forest,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + conf_wins_against_A + conf_loss_against_A + conf_wins_against_B + conf_loss_against_B + quad_wins_A + quad_wins_B + quad_loss_A + quad_loss_B,100,current best model validation classification,0.40804798238053797,kaggle
boost_tree,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + conf_wins_against_A + conf_loss_against_A + conf_wins_against_B + conf_loss_against_B + quad_wins_A + quad_wins_B + quad_loss_A + quad_loss_B,100,current best model validation classification,0.693138656196869,kaggle
log_reg,classification,~winrank_avg_A + rank_avg_B + last3offensive_efficiency_A + last3offensive_efficiency_B + last3possessions_per_game_A + last3possessions_per_game_B + last3defensive_efficiency_A + last3defensive_efficiency_B + clust_A + clust_B + avg_win_A + avg_win_B + overallfree_throw_rate_A + overallfree_throw_rate_B + col_A + col_B + conf_wins_against_A + conf_loss_against_A + conf_wins_against_B + conf_loss_against_B + quad_wins_A + quad_wins_B + quad_loss_A + quad_loss_B,10,current best model validation classification,0.5564367110638573,kaggle
